Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Age,1B,2B,3B,BB,IBB,HBP,SF,SH,SO,H,AB,NameASCII,PlayerId,MLBAMID
"Marcus Semien","TEX",162,753,29,122,100,14,0.095617529,0.146082337,0.201492538,0.291044776,0.276119402,0.348404255,0.47761194,0.35423160789809754,0.333,126.30261466507851,1.2804029937833548,25.0119733458238,11.947639465332031,6.264188500097424,32,112,40,4,72,1,5,5,0,110,185,670,"Marcus Semien",12533,543760
"Julio Rodríguez","SEA",155,714,32,102,103,37,0.06582633,0.245098039,0.209480123,0.32962138,0.275229357,0.333333333,0.48470948,0.3474612170356815,0.345,127.93797307317917,5.219545184168965,29.121074211833946,4.301451921463013,5.777922530348129,22,109,37,2,47,6,11,2,0,175,180,654,"Julio Rodriguez",23697,677594
"Ronald Acuña Jr.","ATL",159,735,41,149,106,73,0.108843537,0.114285714,0.258164853,0.3378119,0.337480559,0.41632653,0.595645412,0.4275971621763511,0.46,170.99252674776318,8.84935781499371,73.49190047599204,-7.540440708398819,9.066894201733332,25,137,35,4,80,3,9,3,0,84,217,643,"Ronald Acuna Jr.",18401,660670
"Bobby Witt Jr.","KCR",158,694,30,97,96,49,0.057636887,0.174351585,0.218408736,0.295180722,0.276131045,0.318903318,0.494539781,0.3433004379100193,0.369,114.26390534923259,7.594655794557184,19.45590681706524,14.861186981201172,5.798636058744261,23,108,28,11,40,1,4,8,1,121,177,641,"Bobby Witt Jr.",25764,677951
"Trea Turner","PHI",155,691,26,102,76,30,0.06512301,0.2170767,0.192488263,0.310344827,0.266040688,0.319826338,0.458528951,0.3331583995258514,0.33,108.28890643173433,9.406666482333094,16.502341922833857,2.54459810256958,4.240608732535911,30,104,35,5,45,2,6,1,0,150,170,639,"Trea Turner",16252,607208
"Steven Kwan","CLE",158,718,5,93,54,21,0.097493036,0.104456824,0.101880878,0.294326241,0.268025078,0.340306834,0.369905956,0.31304805753947973,0.317,98.9767621398649,4.282346201129258,3.40204027936376,4.470825672149658,3.2438723495269293,25,123,36,7,70,2,3,6,1,75,171,638,"Steven Kwan",24610,680757
"Freddie Freeman","LAD",161,730,29,131,102,23,0.098630136,0.165753424,0.235478807,0.369918699,0.331240188,0.409589041,0.566718995,0.4105788874426924,0.408,162.49068474850915,4.522586770821363,61.03665889424108,-7.350088596343994,7.826928707298722,33,121,59,2,72,12,16,5,0,121,211,637,"Freddie Freeman",5361,518692
"Austin Riley","ATL",159,715,37,117,97,3,0.082517482,0.24055944,0.23427673,0.324200913,0.28144654,0.345454545,0.51572327,0.3627266293671899,0.365,127.50434813977395,0.6398202027194202,25.00254481936231,1.9801795482635498,5.113263832898221,26,107,32,3,59,4,9,11,0,172,179,636,"Austin Riley",18360,663586
"Lane Thomas","WSN",157,682,28,101,86,20,0.052785923,0.258064516,0.200636943,0.324825986,0.267515923,0.315249266,0.468152866,0.3339757422023505,0.319,109.79530938252354,1.6600176114588976,9.936027295525948,-1.315382480621338,3.1704301793621754,27,101,36,3,36,0,11,7,0,176,168,628,"Lane Thomas",16939,657041
"Nick Castellanos","PHI",157,671,29,79,106,11,0.053651266,0.275707898,0.204472843,0.337320574,0.271565495,0.311475409,0.476038338,0.33461243660368256,0.32,109.26366987832698,-2.799796167295426,4.90079466814583,-14.259909629821777,1.3402624670039196,31,102,37,2,36,0,3,6,0,185,170,626,"Nick Castellanos",11737,592206
