Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Age,1B,2B,3B,BB,IBB,HBP,SF,SH,SO,H,AB,Barrels,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",157,696,62,133,131,16,0.159482758,0.251436781,0.375438597,0.340236686,0.310526315,0.424855491,0.685964912,0.45819641417238366,0.463,206.15483678377262,1.0455897715874016,84.18680531624172,-0.6504805088043213,11.080794852695513,30,87,28,0,111,19,6,5,0,175,177,570,106,"Aaron Judge",15640,592450
"Yordan Alvarez","HOU",135,561,37,95,97,1,0.139037433,0.188948306,0.306382979,0.320359281,0.306382978,0.406417112,0.612765957,0.4265703602113586,0.46,185.3695676784142,-1.9331990373320878,51.95991598444013,-9.208999633789062,6.350456737759828,25,76,29,2,78,9,6,7,0,106,144,470,78,"Yordan Alvarez",19556,670541
"Kyle Schwarber","PHI",155,669,46,100,94,10,0.128550074,0.298953662,0.285961872,0.24024024,0.218370883,0.322869955,0.504332755,0.35457860385333456,0.375,129.09934398004665,-1.234067835379392,21.38400935658525,-24.115379810333252,2.12703880082418,29,56,21,3,86,3,4,2,0,200,126,577,76,"Kyle Schwarber",16478,656941
"Shohei Ohtani","LAA",157,666,34,90,95,11,0.108108108,0.241741741,0.245733789,0.319796954,0.273037542,0.355855855,0.518771331,0.3696245233888275,0.383,141.87001527617792,-1.6245827260427177,29.7548213509975,-16.41975212097168,3.610358646419158,27,90,30,6,72,14,5,3,0,161,160,586,72,"Shohei Ohtani",19755,660271
"Austin Riley","ATL",159,693,38,90,93,2,0.082251082,0.242424242,0.255284553,0.314769975,0.273170731,0.349206349,0.528455284,0.37660742744889564,0.378,143.55505058023763,-0.8024515947327018,34.26612373270973,-2.3044114112854004,5.856280858846472,25,89,39,2,57,1,17,4,0,168,168,615,71,"Austin Riley",18360,663586
"Matt Olson","ATL",162,699,34,86,103,0,0.107296137,0.243204577,0.237012987,0.274038461,0.24025974,0.324749642,0.477272727,0.3437615839433876,0.347,121.09590735587787,-1.815147437620908,15.317392432088322,-9.553982019424438,3.127203071242461,28,70,44,0,75,6,4,4,0,170,148,616,61,"Matt Olson",14344,621566
"Ryan Mountcastle","BAL",145,609,22,62,85,4,0.070607553,0.252873563,0.172972973,0.303108808,0.25045045,0.305418719,0.423423423,0.31594358051293775,0.362,108.34193706930753,0.310940477065742,6.027721340126735,-8.442806243896484,1.7674863524865325,25,88,28,1,43,1,4,7,0,154,139,555,61,"Ryan Mountcastle",18373,663624
"Mike Trout","LAA",119,499,40,85,80,1,0.108216432,0.278557114,0.347031964,0.323076923,0.283105022,0.368737474,0.630136986,0.4177913187477594,0.395,175.87476170926516,0.020462309010326862,42.62591939698073,-1.2897645235061646,5.9961552578870725,30,54,28,2,54,8,6,1,0,139,124,438,59,"Mike Trout",10155,545361
"Pete Alonso","NYM",160,685,40,95,131,5,0.097810218,0.186861313,0.246231156,0.278538812,0.271356783,0.351824817,0.517587939,0.3657313285921721,0.353,140.85343517913793,-2.6583240339532495,29.85531033586257,-17.209834098815918,3.7992814731796347,27,95,27,0,67,16,12,9,0,128,162,597,59,"Pete Alonso",19251,624413
"Vladimir Guerrero Jr.","TOR",160,706,32,90,97,8,0.082152974,0.164305949,0.205329154,0.289473684,0.27429467,0.338526912,0.479623824,0.35149655870028906,0.351,132.17307834896494,-0.9845602931454778,24.575664019328567,-15.119320154190063,3.3358528279778294,23,108,35,0,58,6,6,4,0,116,175,638,59,"Vladimir Guerrero Jr.",19611,665489
"Adolis García","TEX",156,657,27,88,101,25,0.0608828,0.278538812,0.206611571,0.309226932,0.249586776,0.299847792,0.456198347,0.3243692001313654,0.322,111.69919037038301,4.616069138515741,13.265519699393248,-4.054099440574646,3.1475225976481997,29,85,34,5,40,2,6,6,0,183,151,605,55,"Adolis Garcia",19287,666969
"Christian Walker","ARI",160,667,36,84,94,2,0.103448275,0.196401799,0.234991423,0.24822695,0.241852487,0.326836581,0.47684391,0.3461346896967494,0.359,122.27404479167484,-1.6752313706092536,15.585980704656727,-0.9303998947143555,3.945389238981414,31,78,25,2,69,2,8,7,0,131,141,583,53,"Christian Walker",13419,572233
"Anthony Santander","BAL",152,647,33,78,89,0,0.085007727,0.188562596,0.214285714,0.247641509,0.240418118,0.318392581,0.454703832,0.3356011623384045,0.352,122.21977719716867,-1.7010365929454565,14.476460248462544,-12.572695016860962,2.3470588366423604,27,81,24,0,55,1,13,5,0,122,138,574,53,"Anthony Santander",14551,623993
"Rowdy Tellez","MIL",153,599,35,67,89,2,0.103505843,0.202003338,0.241965974,0.215425531,0.219281663,0.305509181,0.461247637,0.32695230861841623,0.349,110.42794509982056,-4.871861940249801,2.3853853903319973,-12.994622468948364,1.0473240510789952,27,58,23,0,62,9,5,3,0,121,116,529,53,"Rowdy Tellez",15679,642133
"Juan Soto","- - -",153,664,27,93,62,6,0.203313253,0.144578313,0.209923664,0.249376558,0.242366412,0.401206636,0.452290076,0.3758501906736075,0.401,145.72258107313874,-2.1293665105476975,33.14385972633873,-20.88431978225708,3.682989344670953,23,73,25,2,135,6,4,0,0,96,127,524,53,"Juan Soto",20123,665742
"Freddie Freeman","LAD",159,708,21,117,100,13,0.118644067,0.144067796,0.18627451,0.358870967,0.325163398,0.406779661,0.511437908,0.3925452781305916,0.403,157.36182044310345,1.686591557227075,48.87143835011708,-8.52536678314209,6.7907296739971414,32,129,47,2,84,12,5,7,0,102,199,612,52,"Freddie Freeman",5361,518692
"Eugenio Suárez","SEA",150,629,31,76,87,0,0.116057233,0.311605723,0.222836095,0.302180685,0.23572744,0.332273449,0.458563535,0.3442028495579342,0.339,132.02477755786296,-1.491458285599947,21.17606708392605,0.1889846995472908,4.330687340242979,30,71,24,2,73,0,8,5,0,196,128,543,52,"Eugenio Suarez",12552,553993
