Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Age,1B,2B,3B,BB,IBB,HBP,SF,SH,SO,H,AB,NameASCII,PlayerId,MLBAMID
"Jarren Duran","BOS",160,735,21,111,75,34,0.073469387,0.217687074,0.207153502,0.344827586,0.284649776,0.341961852,0.491803278,0.3568673902286514,0.338,129.02292667113866,8.356321357190609,32.76443130889777,7.197542428970337,6.663862539441476,27,108,48,14,54,1,6,3,1,160,191,671,"Jarren Duran",24617,680776
"Ezequiel Tovar","COL",157,695,26,83,78,6,0.033093525,0.287769784,0.2,0.344036697,0.26870229,0.294629898,0.46870229,0.3244099165637826,0.289,94.9116291349422,0.05427958816289902,-4.174595393185702,16.710549354553223,3.6884965335889164,22,101,45,4,23,1,4,7,5,200,176,655,"Ezequiel Tovar",24064,678662
"Marcus Semien","TEX",159,718,23,101,74,8,0.08913649,0.146239554,0.153846154,0.250478011,0.236923076,0.307799442,0.39076923,0.30588280763373027,0.313,98.97228367035243,1.5033891126513481,0.6590764380900551,15.709214210510254,4.168488992792493,33,102,27,2,64,2,3,1,0,105,154,650,"Marcus Semien",12533,543760
"Luis Arraez","- - -",150,672,4,83,46,9,0.035714285,0.043154761,0.078492936,0.323966942,0.313971742,0.346268656,0.392464678,0.3227873320343612,0.325,109.21471774923765,-0.9955071620643139,6.409280248631596,-18.125121653079987,1.10460650300918,27,161,32,3,24,3,8,1,2,29,200,637,"Luis Arraez",18568,650333
"Anthony Volpe","NYY",160,689,12,90,60,28,0.06095791,0.226415094,0.120879121,0.302966101,0.2433281,0.293002915,0.364207221,0.28735230665137296,0.274,85.91384880657668,5.045042768120766,-6.0599217397616325,15.958579063415527,3.400233233312499,23,109,27,7,42,1,4,3,2,156,155,637,"Anthony Volpe",27647,683011
"Shohei Ohtani","LAD",159,731,54,134,130,59,0.110807113,0.221614227,0.336477988,0.336470588,0.309748427,0.39010989,0.646226415,0.43054929176412915,0.442,181.15414439501438,9.723924972116947,80.66362777617202,-17.17592430114746,9.07467354204,29,98,38,7,81,10,6,5,0,162,197,636,"Shohei Ohtani",19755,660271
"Bobby Witt Jr.","KCR",161,709,32,125,109,31,0.080394922,0.149506346,0.256289308,0.35375494,0.331761006,0.389280677,0.588050314,0.40973835374627793,0.407,167.54034664406979,4.515546567738056,59.30729104175124,17.491880416870117,10.378591764434228,24,123,45,11,57,9,8,8,0,106,211,636,"Bobby Witt Jr.",25764,677951
"Gunnar Henderson","BAL",159,719,37,118,92,21,0.108484005,0.221140472,0.247619048,0.319634703,0.28095238,0.364394993,0.528571428,0.38146476194387025,0.374,154.74504761804945,3.9459963738918304,48.98402116316121,4.671119689941406,8.022841491523334,23,102,31,7,78,1,7,4,0,159,177,630,"Gunnar Henderson",26289,683002
"Jose Altuve","HOU",153,682,20,94,65,22,0.068914956,0.174486803,0.144904458,0.337423312,0.294585987,0.350439882,0.439490445,0.344237520589548,0.316,127.47955141816854,-0.7232182770967484,20.72047669658519,-5.374680399894714,3.938642516127196,34,134,31,0,47,2,7,0,0,119,185,628,"Jose Altuve",5417,514888
"Bryan Reynolds","PIT",156,692,24,73,88,10,0.082369942,0.225433526,0.172025723,0.330337078,0.274919614,0.343930635,0.446945337,0.3427446141990418,0.35,117.77041804655428,0.9794340059161186,15.684433824298683,-18.066542625427246,2.137459881623713,29,115,29,3,57,3,10,3,0,156,171,622,"Bryan Reynolds",19326,668804
