Name,PlayerId,AVG_cur,OBP_cur,SLG_cur,K_pct_cur,BB_pct_cur,Barrel_pct_cur,BABIP_cur,wOBA_cur,xwOBA_cur,xwOBA_wOBA_gap_cur,PA_cur,Age,AVG_l3,OBP_l3,SLG_l3,K_pct_l3,BB_pct_l3,Barrel_pct_l3,BABIP_l3,wOBA_l3,xwOBA_l3,xwOBA_wOBA_gap_l3,PA_l3,AVG_diff,OBP_diff,SLG_diff,K_pct_diff,BB_pct_diff,Barrel_pct_diff,BABIP_diff,wOBA_diff,xwOBA_diff,xwOBA_wOBA_gap_diff
Aaron Judge,15640,0.361,0.461,0.719,25.562,14.888,14.326,0.442,0.486,0.454,-0.032,356,33,0.304,0.433,0.674,25.619,17.869,14.909,0.341,0.456,0.469,0.013,1858,0.057,0.028,0.045,-0.057,-2.981,-0.583,0.101,0.03,-0.015,-0.045
Aaron Schunk,25524,0.214,0.214,0.25,27.586,0,3.448,0.3,0.204,0.25,0.046,29,27,0.234,0.265,0.33,31.633,4.082,3.061,0.328,0.257,0.236,-0.021,98,-0.02,-0.051,-0.08,-4.046,-4.082,0.387,-0.028,-0.053,0.014,0.067
Abraham Toro,19844,0.287,0.316,0.473,16.176,2.941,4.412,0.311,0.341,0.306,-0.035,136,28,0.219,0.273,0.349,17.91,5.97,4.342,0.246,0.273,0.293,0.02,737,0.067,0.043,0.124,-1.734,-3.029,0.07,0.065,0.068,0.013,-0.055
Adael Amador,27962,0.146,0.24,0.225,24.51,9.804,2.941,0.19,0.219,0.284,0.065,102,22,0.171,0.194,0.2,16.667,2.778,5.556,0.207,0.176,0.264,0.088,36,-0.025,0.046,0.025,7.843,7.026,-2.614,-0.016,0.042,0.02,-0.022
Adam Frazier,15223,0.251,0.317,0.333,15.984,6.967,0.82,0.291,0.29,0.283,-0.007,244,33,0.231,0.296,0.336,14.804,7.402,1.776,0.26,0.281,0.296,0.015,1351,0.02,0.02,-0.002,1.18,-0.435,-0.957,0.03,0.009,-0.013,-0.022
Addison Barger,24598,0.262,0.324,0.476,24.02,7.843,9.314,0.315,0.344,0.37,0.026,204,25,0.197,0.25,0.351,26.667,6.222,5.333,0.239,0.262,0.291,0.029,225,0.065,0.074,0.125,-2.647,1.621,3.98,0.076,0.081,0.079,-0.002
Adley Rutschman,26288,0.227,0.319,0.372,16.304,11.594,6.159,0.247,0.309,0.35,0.041,276,27,0.261,0.351,0.421,16.156,11.978,5.07,0.289,0.337,0.344,0.007,1795,-0.034,-0.032,-0.049,0.148,-0.384,1.09,-0.041,-0.028,0.006,0.034
Adolis Garcia,19287,0.23,0.279,0.393,24.579,6.061,8.754,0.273,0.292,0.329,0.037,297,32,0.24,0.304,0.454,27.778,7.788,8.671,0.288,0.325,0.331,0.006,1926,-0.01,-0.024,-0.061,-3.199,-1.728,0.083,-0.015,-0.033,-0.002,0.031
Agustin Ramirez,26546,0.247,0.294,0.466,17.447,6.383,8.085,0.251,0.328,0.36,0.032,235,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akil Baddoo,22168,0.118,0.167,0.176,27.778,5.556,0,0.167,0.158,0.271,0.113,18,26,0.203,0.292,0.328,27.108,11.145,3.765,0.265,0.276,0.284,0.008,664,-0.085,-0.125,-0.151,0.669,-5.589,-3.765,-0.098,-0.118,-0.013,0.105
