PlayerId,mlbamid,Name,season,Age,g,gs,ip,tbf,h,er,hr,so,bb,ibb,hbp,babip_cur,lob_percent_cur,fip_cur,x_fip,hr_fb_cur,f_bv,c_tv,s_fv,o_swing_percent_cur,csw_percent_cur,x_era,position,ev90,barrels,barrel_percent_cur,xera_cur,k_percent_cur,bb_percent_cur,k_minus_bb_percent_cur,era_cur,xera_gap,fip_era_gap,era_l3,k_percent_l3,bb_percent_l3,k_minus_bb_percent_l3,xera_l3,era_xera_gap,fip_l3,era_fip_gap,barrel_percent_l3,o_swing_percent_l3,babip_l3,lob_percent_l3,csw_percent_l3,hr_fb_l3,era_diff,k_percent_diff,bb_percent_diff,k_minus_bb_percent_diff,xera_diff,o_swing_percent_diff,csw_percent_diff,barrel_percent_diff,lob_percent_diff,babip_diff,player_type,era_lg_adj_diff,k_percent_lg_adj_diff,bb_percent_lg_adj_diff,k_minus_bb_percent_lg_adj_diff,xera_lg_adj_diff,o_swing_percent_lg_adj_diff,csw_percent_lg_adj_diff,barrel_percent_lg_adj_diff,lob_percent_lg_adj_diff,babip_lg_adj_diff
31623,694819,Jacob Misiorowski,2026,24,27,27,161.333,616,88,35,14,236,41,0,9,0.235,80.236,2.225,2.255,0.113,100.618,95.96,NA,37.464,33.971,2.094,SP,102.6,13,3.939,2.094,38.312,6.656,31.656,1.952,-0.141,-0.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20778,650911,Cristopher Sanchez,2026,29,30,30,187.333,778,185,58,16,210,42,0,5,0.337,80.153,2.591,2.559,0.12,95.11,NA,NA,38.552,30.996,3.228,SP,104.8,34,6.827,3.228,26.992,5.398,21.594,2.786,-0.442,0.196,3.347,20.88,5.568,15.312,3.587,-0.24,3.144,0.203,5.803,39.046,0.307,71.708,28.022,0.112,-0.56,6.112,-0.17,6.282,-0.359,-0.494,2.974,1.024,8.444,0.03,pitcher,-0.906,7.517,-1.196,8.713,-0.67,-1.062,3.785,0.884,8.744,0.03
32095,693645,Cameron Schlittler,2026,25,30,30,178.667,701,122,40,16,220,42,0,6,0.257,83.333,2.6,2.819,0.098,97.992,NA,NA,37.476,28.613,2.913,SP,103,34,7.852,2.913,31.384,5.991,25.392,2.015,-0.898,-0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19959,666200,Jesus Luzardo,2026,28,29,29,178.667,727,141,57,15,221,52,0,11,0.297,75.956,2.768,2.925,0.101,96.454,NA,NA,34.895,32.028,2.84,SP,102.8,26,5.869,2.84,30.399,7.153,23.246,2.871,0.031,0.103,4.347,24.44,7.742,16.699,4.291,0.056,3.925,0.422,9.624,33.589,0.297,70.387,29.296,0.117,-1.476,5.959,-0.589,6.548,-1.451,1.306,2.732,-3.755,5.57,0,pitcher,-1.822,7.364,-1.616,8.979,-1.762,0.738,3.543,-3.895,5.869,-0
18525,656302,Dylan Cease,2026,30,27,27,161.333,644,101,43,11,227,67,0,3,0.269,78.406,2.466,2.794,0.085,96.852,NA,NA,33.759,29.949,2.765,SP,104,18,5.187,2.765,35.248,10.404,24.845,2.399,-0.366,-0.068,3.736,28.86,8.925,19.935,3.512,0.225,3.258,0.479,7.913,33.043,0.28,69.366,29.227,0.094,-1.338,6.389,1.479,4.91,-0.747,0.716,0.721,-2.726,9.04,-0.011,pitcher,-1.684,7.793,0.452,7.342,-1.058,0.148,1.533,-2.866,9.34,-0.012
10603,519242,Chris Sale,2026,37,25,25,150,601,122,35,9,184,29,0,13,0.31,81.902,2.259,2.805,0.068,96.086,NA,NA,39.064,31.292,3.058,SP,103.3,22,5.867,3.058,30.616,4.825,25.79,2.1,-0.958,-0.159,2.698,31.608,5.768,25.84,2.939,-0.241,2.374,0.324,6.049,36.849,0.31,78.153,31.972,0.075,-0.598,-0.992,-0.943,-0.049,0.118,2.215,-0.68,-0.182,3.75,-0,pitcher,-0.944,0.413,-1.97,2.383,-0.193,1.647,0.131,-0.322,4.049,-0
27468,672282,Reid Detmers,2026,26,29,29,168,672,129,62,17,191,45,0,5,0.273,73.454,3.027,3.398,0.09,94.088,NA,NA,35.831,29.207,3.189,SP,104.4,32,7.425,3.189,28.423,6.696,21.726,3.321,0.132,0.294,5.912,27.243,9.576,17.666,4.285,1.627,4.513,1.399,9.135,31.975,0.343,65.789,28.76,0.152,-2.591,1.18,-2.88,4.06,-1.096,3.855,0.446,-1.71,7.665,-0.071,pitcher,-2.937,2.585,-3.907,6.492,-1.407,3.287,1.258,-1.85,7.965,-0.071
35333,695505,Chase Burns,2026,23,27,27,148.333,602,118,45,15,176,51,0,1,0.288,80.537,3.086,3.396,0.094,97.7,NA,NA,37.549,28.496,3.16,SP,103.8,29,7.754,3.16,29.236,8.472,20.764,2.73,-0.43,-0.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22267,669373,Tarik Skubal,2026,29,23,23,139.667,548,112,44,13,164,24,0,5,0.292,75.733,2.577,2.651,0.109,96.808,NA,NA,39.918,30.152,3.01,SP,104.5,25,7.042,3.01,29.927,4.38,25.547,2.835,-0.174,0.258,2.442,30.596,4.632,25.963,2.669,-0.228,2.435,0.007,6.355,35.562,0.274,78.519,31.979,0.085,0.394,-0.669,-0.253,-0.416,0.34,4.356,-1.827,0.687,-2.786,0.018,pitcher,0.048,0.736,-1.279,2.016,0.029,3.788,-1.016,0.547,-2.486,0.017
31986,800048,Parker Messick,2026,25,28,28,167,663,128,47,16,173,45,2,2,0.264,81.258,3.11,3.318,0.099,93.934,90.68,NA,33.355,26.994,3.05,SP,103.6,22,4.966,3.05,26.094,6.787,19.306,2.533,-0.517,-0.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
