playerid,mlbamid,name,season,age,g,gs,ip,tbf,h,er,hr,so,bb,ibb,hbp,babip,lob_percent,fip,x_fip,ld_percent,hr_fb,f_bv,c_tv,s_fv,o_swing_percent,c_sw_str_percent,x_era,position,ev90,barrels,barrel_percent,k_percent,bb_percent,k_minus_bb_percent,era,xera_gap,fip_era_gap
10603,519242,Chris Sale,2024,35,29,29,177.2,702,141,47,9,225,39,0,8,0.31353919239904987,0.7981756,2.0858042942755386,2.6442501166237466,0.215962441,0.062937062,94.75175644,NA,NA,0.36895035,0.32292406,2.8,SP,104.4,24,0.05581395,32.05128205128205,6.695156695156696,25.356125356125354,2.3871331828442437,-0.4128668171557561,0.3013288885687051
22267,669373,Tarik Skubal,2024,27,31,31,192,753,142,51,15,228,35,0,9,0.27253218884120173,0.8,2.4946047782897955,2.8256122650811455,0.184486373,0.087719298,96.80459016,NA,NA,0.35192563,0.32078103,2.72,SP,104.3,32,0.06652807,30.278884462151396,5.843293492695882,24.435590969455514,2.390625,-0.3293750000000002,-0.10397977828979554
10310,554430,Zack Wheeler,2024,34,32,32,200,787,139,57,20,224,52,0,8,0.2463768115942029,0.80116959,3.126479778289795,3.300687974356115,0.184,0.102564102,95.11181435,91.09803922,86.17467249,0.36448598,0.27295918,2.8,SP,103.2,42,0.08349901,28.46251588310038,7.6238881829733165,20.838627700127063,2.565,-0.23499999999999988,-0.5614797782897951
21846,666142,Cole Ragans,2024,26,32,32,186.1,762,146,65,15,223,67,1,6,0.29046563192904656,0.74747475,2.9947445320993267,3.457536477955223,0.187363834,0.080645161,95.44785276,90.96130952,NA,0.3308026,0.28928801,3.31,SP,103.8,29,0.06223176,29.26509186351706,9.711286089238845,19.553805774278217,3.1434712520150456,-0.16652874798495443,0.14872671991571895
18525,656302,Dylan Cease,2024,28,33,33,189.1,762,137,73,18,224,65,0,2,0.26269315673289184,0.6935123,3.0978178046142695,3.4351364194456018,0.178494623,0.091370558,96.91714697,91.77272727,NA,0.33538778,0.29265997,3.31,SP,104.4,40,0.08492569,29.396325459317584,8.792650918635172,20.603674540682412,3.4743521946060287,0.16435219460602868,0.37653438999175926
20778,650911,Cristopher Sanchez,2024,27,31,31,181.2,754,182,67,11,153,44,0,0,0.3131868131868132,0.71225071,2.995837566899727,3.1907934967201372,0.21129326,0.093220338,94.52870091,87,NA,0.39290162,0.27519657,3.56,SP,105.3,30,0.05385996,20.291777188328915,5.835543766578249,14.456233421750666,3.327814569536424,-0.2321854304635762,0.3319770026366968
12447,607625,Seth Lugo,2024,34,33,33,206.2,836,177,69,16,181,48,1,9,0.2766323024054983,0.75141777,3.2487378468548225,3.8298950890902206,0.191201353,0.073732718,92.19838946,89.88596491,85.82474227,0.31397971,0.281491,3.75,SP,104.5,48,0.08026756,21.650717703349283,6.937799043062201,14.712918660287082,3.011639185257032,-0.7383608147429679,-0.23709866159779036
27463,676979,Garrett Crochet,2024,25,32,32,146,595,123,58,18,209,33,0,5,0.3181818181818182,0.73637703,2.6870277234952744,2.378815742520845,0.187861271,0.144,97.23656716,91.58579882,NA,0.35978428,0.30730689,2.85,SP,105.9,32,0.09195402,35.12605042016806,6.386554621848739,28.739495798319325,3.5753424657534243,0.7253424657534242,0.8883147422581499
17995,657277,Logan Webb,2024,27,33,33,204.2,841,202,79,11,172,50,3,2,0.31518151815181517,0.71668064,2.9466100605212424,3.28218585995796,0.204545454,0.078571428,92.61898212,90.9,NA,0.3458922,0.28388507,4.31,SP,106.4,43,0.06969206,20.451843043995243,6.539833531510107,13.912009512485136,3.4818805093046037,-0.8281194906953959,0.5352704487833613
33677,694973,Paul Skenes,2024,22,23,23,133,514,94,29,10,170,32,0,6,0.28378378378378377,0.8559322,2.4446752670115997,2.5358691781759264,0.177631578,0.106382978,98.85971223,NA,94.03814262,0.34482759,0.29384109,2.53,SP,103.5,16,0.05228758,33.07392996108949,7.392996108949417,25.680933852140072,1.962406015037594,-0.5675939849624059,-0.4822692519740057
