Name,PlayerId,Age,player_type,mlbamid,compound_id,display_name,position_detail,position
A.J. Blubaugh,31764,25,pitcher,805123,31764_pitcher,A.J. Blubaugh,RP,RP
Aaron Ashby,23550,28,pitcher,676879,23550_pitcher,Aaron Ashby,RP,RP
Aaron Bummer,16258,32,pitcher,607481,16258_pitcher,Aaron Bummer,RP,RP
Aaron Civale,19479,31,pitcher,650644,19479_pitcher,Aaron Civale,SP,SP
Aaron Judge,15640,34,hitter,592450,15640_hitter,Aaron Judge,Hitter,NA
Aaron Nola,16149,33,pitcher,605400,16149_pitcher,Aaron Nola,SP,SP
Abner Uribe,25327,26,pitcher,682842,25327_pitcher,Abner Uribe,RP,RP
Adam Frazier,15223,34,hitter,624428,15223_hitter,Adam Frazier,Hitter,NA
Addison Barger,24598,26,hitter,680718,24598_hitter,Addison Barger,Hitter,NA
Adley Rutschman,26288,28,hitter,668939,26288_hitter,Adley Rutschman,Hitter,NA
Adolis Garcia,19287,33,hitter,666969,19287_hitter,Adolis Garcia,Hitter,NA
Adrian Del Castillo,29554,26,hitter,680728,29554_hitter,Adrian Del Castillo,Hitter,NA
Adrian Houser,12718,33,pitcher,605288,12718_pitcher,Adrian Houser,SP,SP
Adrian Morejon,20039,27,pitcher,670970,20039_pitcher,Adrian Morejon,RP,RP
Agustin Ramirez,26546,24,hitter,682663,26546_hitter,Agustin Ramirez,Hitter,NA
Albert Suarez,6175,36,pitcher,544150,6175_pitcher,Albert Suarez,RP,RP
Alec Bohm,21618,29,hitter,664761,21618_hitter,Alec Bohm,Hitter,NA
Alec Burleson,27615,27,hitter,676475,27615_hitter,Alec Burleson,Hitter,NA
Alejandro Kirk,22581,27,hitter,672386,22581_hitter,Alejandro Kirk,Hitter,NA
Alek Thomas,23792,26,hitter,677950,23792_hitter,Alek Thomas,Hitter,NA
Alex Bregman,17678,32,hitter,608324,17678_hitter,Alex Bregman,Hitter,NA
Alex Call,19296,31,hitter,669743,19296_hitter,Alex Call,Hitter,NA
