playerid,name,position,era,k_percent,bb_percent,k_minus_bb_percent,xera,era_xera_gap,fip,era_fip_gap,barrel_percent,ld_percent,o_swing_percent,babip,lob_percent,csw_percent,hr_fb,baseline_for_year
1247,Adam Ottavino,RP,4.339285714285714,28.57142857142857,9.387755102040817,19.183673469387752,3.19,1.1492857142857145,3.666479880469207,0.6728058338165073,7.586207,14.685314599999998,28.571429,0.30935251798561153,70.82153,31.809145,0.1,2026
1890,Matt Moore,RP,2.586206896551724,27.522935779816514,6.8807339449541285,20.642201834862384,3.28,-0.6937931034482756,3.729723952508402,-1.1435170559566776,7.857143,19.708029099999997,38.39662400000001,0.2932330827067669,88.56088600000001,27.895981,0.112903225,2026
1943,Zack Greinke,SP,5.0668543279380724,16.357504215851602,3.87858347386172,12.478920741989882,5.06,0.006854327938072835,4.744501731117315,0.3223525968207577,7.675906,20.6008583,31.764705999999997,0.29954954954954954,68.666667,24.583521,0.147928994,2026
2036,Clayton Kershaw,SP,3.2956600361663653,22.66811279826464,7.266811279826464,15.401301518438178,4.124859002169197,-0.8291989660028318,3.8148275779563323,-0.519167541789967,6.8930518329718,22.69938245856833,32.62786039154013,0.2950786334056399,78.09603069522775,28.25195654446855,0.12160506567895879,2026
2520,Lance Lynn,SP,4.49579045837231,22.127296027338744,8.500640751815464,13.62665527552328,4.912387868432295,-0.4165974100599845,4.730430775518846,-0.23464031714653544,10.41719399786416,22.03358031443827,30.98485808885092,0.28862801940234106,69.24730374797096,24.843074407518156,0.13850409854036735,2026
3096,Kenley Jansen,RP,3.3945841392649903,28.26603325415677,9.144893111638956,19.121140142517817,3.2176722090261287,0.17691193023886154,3.1483560857649815,0.24622805350000876,10.156931959619953,16.832223194061754,28.96223279334917,0.2713663396855905,73.04335695486937,29.046239142517816,0.060326450425178146,2026
3137,Max Scherzer,SP,3.8685612788632326,25.520833333333332,6.510416666666667,19.010416666666664,3.54734375,0.3212175288632326,4.25779759917242,-0.38923632030918753,8.263290921875,20.0270251671875,37.788282828125006,0.2706017204178969,78.3470468671875,28.666883257812504,0.1362304685703125,2026
3237,T.J. McFarland,RP,3.843416370106761,16.595744680851062,7.234042553191489,9.361702127659573,3.3599999999999994,0.48341637010676175,3.819421247792623,0.02399512231413814,4.571429,19.2982456,33.196721000000004,0.28654970760233917,67.25146199999999,29.151732000000003,0.1,2026
4301,Justin Wilson,RP,5.649350649350649,24.401913875598087,6.220095693779904,18.181818181818183,4.25,1.399350649350649,4.730765833562809,0.91858481578784,11.188810999999998,17.0212765,38.116592,0.3383458646616541,71.42857099999999,24.572126999999995,0.158730158,2026
4676,Charlie Morton,SP,4.0598420413122724,24.263923377084073,9.861653068463996,14.402270308620077,4.528098616530685,-0.4682565752184127,4.311633634226685,-0.25179159291441255,8.918932468605888,21.42839893313232,31.16689899716211,0.3098033384190672,75.08765295565803,28.64421834586733,0.14138690554593827,2026
4806,Rich Hill,SP,5.42094455852156,19.545454545454547,8.787878787878787,10.75757575757576,5.66,-0.23905544147844004,4.867796637748043,0.553147920773517,10.085837,24.4541484,27.455197,0.32054176072234764,66.734075,26.971609,0.13372093,2026
5003,Jake Diekman,RP,3.362989323843416,26.337448559670783,15.637860082304528,10.699588477366255,3.3799999999999994,-0.017010676156583582,3.74915811188908,-0.38616878804566435,5,17.266187,26.964285999999998,0.24817518248175183,65.45961,29.187563,0.06,2026
5448,Jesse Chavez,RP,1.5789473684210527,27.083333333333332,8.333333333333332,18.75,3.58,-2.0010526315789474,3.053117251096388,-1.4741698826753353,3.333333,22.4719101,29.639889000000004,0.2727272727272727,81.151832,32.646048,0.086956521,2026
5615,Ryan Brasier,RP,3.331005586592179,23.06338028169014,5.985915492957746,17.077464788732392,3.4977112676056334,-0.1667056810134544,3.2374278277629234,0.093577758829255675,5.928697183098591,19.332001596830985,37.95572431338028,0.24744646221276706,66.2504556971831,26.264804267605633,0.07867162597535211,2026
6107,Huascar Brazoban,RP,3.951841359773371,24.008810572687224,11.674008810572687,12.334801762114537,3.623017621145374,0.32882373862799685,3.4955407956039624,0.4563005641694087,5.1002990737885465,21.9551349034141,35.557847421806166,0.2791645640403158,66.34313712224669,27.85732654955947,0.06479584218502203,2026
6175,Albert Suarez,SP,3.7162162162162162,19.115044247787612,7.610619469026549,11.504424778761063,4.05,-0.3337837837837836,4.236305296116438,-0.5200890799002216,7.055961,23.5148514,32.770022,0.2868020304568528,78.843627,22.788204,0.098837209,2026
6398,Trevor May,RP,3.3116883116883113,19.51219512195122,14.146341463414632,5.365853658536587,4.58,-1.2683116883116887,4.712183415159915,-1.4004951034716036,6.0150380000000006,23.8461538,29.321662999999997,0.24031007751937983,74.918567,28.406169999999996,0.06779661,2026
6562,Alex Cobb,SP,3.6108324974924777,19.35096153846154,5.528846153846153,13.822115384615387,4.792596153846154,-1.1817636563536764,3.8475134622154883,-0.2366809647230106,6.797236374999999,18.464950517307692,31.908564173076925,0.30736297280947533,73.62415288701924,26.988528610576928,0.1590467818004808,2026
6632,Carlos Carrasco,SP,5.6686046511627906,19.910514541387027,7.38255033557047,12.527964205816556,4.71,0.9586046511627906,4.931753133492261,0.7368515176705293,8.125,18.2389937,33.236152000000004,0.3089700996677741,66.450567,26.284702,0.169642857,2026
6655,Craig Kimbrel,RP,4.713715046604527,32.13552361396304,12.42299794661191,19.71252566735113,4.016016427104722,0.6976986194998052,4.072627212986894,0.6410878336176333,10.369115825462012,22.994757545995892,27.640627675564684,0.27162564710645803,66.35351237166324,30.00030325462012,0.1339959720657084,2026
6797,Julio Teheran,SP,4.424157303370786,17.36111111111111,4.513888888888888,12.847222222222221,4.9,-0.47584269662921397,4.929459023565911,-0.5053017201951242,9.954751,18.6363636,28.640777,0.2644230769230769,73.353293,26.869806,0.142857142,2026
6895,Chase Anderson,SP,5.435540069686412,17.20430107526882,8.870967741935484,8.333333333333336,4.96,0.4755400696864118,5.722221972030677,-0.2866819023442648,8.208955,20.7547169,29.587155999999997,0.2908366533864542,72.504708,23.602484,0.149122807,2026
6902,Martin Perez,SP,4.5148297326986455,17.40958788898234,8.242220353238014,9.167367535744326,5.247047939444911,-0.7322182067462659,4.923258211226971,-0.4084284785283252,8.301174762825903,19.684091447939444,31.28273669722456,0.31070551351699977,76.25465514634146,26.852807830950383,0.14087427450462572,2026
6984,Luis Garcia,RP,4.686706181202371,20.602526724975704,6.705539358600583,13.896987366375122,3.677521865889213,1.0091843153131586,4.111747398605406,0.5749587825969655,6.125072344023324,20.486446100583088,33.96834011661807,0.3015326947105373,65.95927971720117,26.90475476676385,0.15600395125364433,2026
7005,Ryan Pressly,RP,3.5430038510911426,24.8,7.000000000000001,17.8,3.87352,-0.3305161489088575,3.167257707970487,0.3757461431206557,8.003716268,20.451357293199997,35.569331104,0.31694674556213015,70.615735908,28.617824664000004,0.102001575288,2026
7048,Fernando Cruz,RP,4.897959183673469,37.182852143482066,11.63604549431321,25.546806649168857,3.9035433070866143,0.9944158765868543,3.1639117725454673,1.7340474111280013,9.82525342519685,25.6443783,33.059413984251975,0.3312857380218106,66.9985490944882,31.88685225984252,0.15318653511023625,2026
7146,Daniel Hudson,RP,2.953125,25.097024579560156,7.761966364812419,17.335058214747736,3.7722897800776196,-0.8191647800776196,4.159520977779276,-1.2063959777792759,12.129213737386806,13.284377076714101,30.54635266623545,0.22696205260888314,79.22927669598965,27.678325423027168,0.12122083261319533,2026
7432,Jay Jackson,RP,2.1575342465753424,23.275862068965516,7.758620689655173,15.517241379310343,3.4,-1.2424657534246575,4.198860725804502,-2.041326479229159,7.594937,14.1025641,32.69230799999999,0.1866666666666667,89.285714,31.151242,0.121212121,2026
7531,Collin McHugh,RP,4.329896907216495,17.537313432835823,8.208955223880597,9.328358208955226,5.23,-0.9001030927835059,4.090267749894274,0.2396291573222209,6.153846000000001,25.396825299999996,31.612903,0.34210526315789475,69.662921,27.45098,0.086206896,2026
7593,Jordan Lyles,RP,0,15.789473684210526,10.526315789473683,5.2631578947368425,4.28,-4.28,3.166479778289795,-3.166479778289795,14.285713999999999,0,32.55814000000001,0.14285714285714285,100,25,0,2026
7593,Jordan Lyles,SP,6.297968397291196,16.042780748663102,6.016042780748663,10.026737967914439,4.93,1.3679683972911967,5.619017980778255,0.678950416512941,9.878683,17.8947368,31.947743,0.25464684014869887,56.264501,23.785892,0.140794223,2026
7836,Hunter Strickland,RP,3.32421340629275,19.387755102040817,8.16326530612245,11.224489795918368,3.49,-0.16578659370725024,4.448298182369302,-1.1240847760765522,9.004739,13.3333333,31.641790999999998,0.22885572139303484,75,26.247849000000002,0.093457943,2026
8048,Will Smith,RP,4.413309982486865,24.336283185840706,7.52212389380531,16.814159292035395,3.35,1.063309982486865,3.3596915454978027,1.0536184369890624,7.7922080000000005,23.026315699999998,35.783366,0.26174496644295303,55.555555999999996,30.057803000000007,0.069444444,2026
8110,Bryan Shaw,RP,4.181415929203539,21.052631578947366,8.947368421052632,12.105263157894735,3.85,0.33141592920353924,3.868179182208837,0.3132367469947024,3.937008,18.8976377,27.191011,0.2903225806451613,70.93425599999999,25.710593999999997,0.057692307,2026
8241,David Robertson,RP,3.0096051227321237,32.4114088159032,9.16162489196197,23.24978392394123,3.2039498703543647,-0.19434474762224108,2.8602732204536525,0.14933190227847115,5.612742109766638,17.52714124044944,28.66944840535869,0.2988077033885158,76.34534893171997,31.962972333621437,0.09535583323681937,2026
8700,Justin Verlander,SP,4.641535615171138,19.7092084006462,6.78513731825525,12.92407108239095,3.725961227786752,0.9155743873843862,4.445406047417726,0.19612956775341228,7.385188429725364,19.56606761292407,32.8736776365105,0.2891760388622146,71.33093069305332,25.935800025848145,0.09456213599353797,2026
8779,Wade Miley,SP,3.147377185678601,16.122448979591837,7.755102040816326,8.367346938775512,4.33,-1.182622814321399,4.69271355045871,-1.545336364780109,7.567568,15.977961399999998,30.188679,0.2344632768361582,81.632653,25.746268999999998,0.116788321,2026
9073,Kirby Yates,RP,1.176470588235294,35.86497890295359,11.814345991561181,24.050632911392405,1.86,-0.6835294117647062,2.5016148448774045,-1.3251442566421106,4.098361,12.396694199999999,35.830619000000006,0.16806722689075632,88.11475399999999,30.252918,0.058823529,2026
9111,Brad Hand,RP,5.582706766917293,25,9.322033898305085,15.677966101694915,4.58,1.002706766917293,4.019015659588225,1.5636911073290678,7.3333330000000005,30.06993,29.304029,0.3333333333333333,66.115702,27.338129000000006,0.127659574,2026
9132,Nathan Eovaldi,SP,3.767186067827682,23.639774859287055,6.49155722326454,17.148217636022515,3.9251557223264544,-0.15796965449877254,3.8443196613998585,-0.07713359357217664,7.739042834896812,18.415918472682925,34.12200972908067,0.27070223245916175,74.48444506566605,28.14622693395873,0.14075998113320826,2026
